iter	Logloss
0	0.6450982506
1	0.6078726174
2	0.5741722415
3	0.5431756499
4	0.5172365753
5	0.4881230031
6	0.4679155933
7	0.4469066847
8	0.4288723993
9	0.4148389035
10	0.4019090506
11	0.3909397052
12	0.381960788
13	0.3719164721
14	0.3634391064
15	0.355801052
16	0.3487140944
17	0.3431244834
18	0.3387510799
19	0.3335846576
20	0.3289126348
21	0.3240846689
22	0.3197362775
23	0.3166040575
24	0.3123521838
25	0.3093627886
26	0.3056484831
27	0.3016829608
28	0.2988445248
29	0.2957042702
30	0.2925193077
31	0.288030848
32	0.2842304507
33	0.2808620648
34	0.2774783386
35	0.2748662117
36	0.2725884552
37	0.2701024011
38	0.267489669
39	0.2649109553
40	0.2624049725
41	0.2597385021
42	0.257229356
43	0.2552751367
44	0.2534033896
45	0.2513844476
46	0.2490721484
47	0.2471805523
48	0.2444152503
49	0.2427832763
50	0.2405805497
51	0.2385657264
52	0.2367431674
53	0.234833695
54	0.2333413072
55	0.2315453433
56	0.2296751187
57	0.2276696645
58	0.2262675315
59	0.2246789626
60	0.2230874163
61	0.2212664384
62	0.2194505009
63	0.2169645359
64	0.2152329213
65	0.2132496751
66	0.2114620746
67	0.2097682651
68	0.2080880985
69	0.2067033346
70	0.2052412079
71	0.2036853496
72	0.2024973129
73	0.2015204826
74	0.1997210277
75	0.1981281081
76	0.1966002705
77	0.1954888529
78	0.1942370768
79	0.1933170588
80	0.1919629565
81	0.1901303677
82	0.1888444494
83	0.1873840941
84	0.1861646808
85	0.1845287578
86	0.1833349047
87	0.1819147994
88	0.1807987477
89	0.1796912843
90	0.1784509031
91	0.1770221465
92	0.1756881876
93	0.174473102
94	0.1729239082
95	0.1717073735
96	0.1703922792
97	0.1693349511
98	0.1677527383
99	0.1665781011
100	0.1654345475
101	0.1643711539
102	0.1632063429
103	0.1619499731
104	0.1607300972
105	0.1593857834
106	0.1581611366
107	0.1571688847
108	0.1558940168
109	0.1543579044
110	0.1532304725
111	0.1521696903
112	0.1509355587
113	0.1496982033
114	0.1483671493
115	0.1472936799
116	0.1464508867
117	0.1452755786
118	0.144137651
119	0.1426422409
120	0.1419620161
121	0.1409641486
122	0.1401819999
123	0.1392054398
124	0.1380214121
125	0.1370455229
126	0.1363314394
127	0.1352331893
128	0.1344403888
129	0.132966526
130	0.1318092632
131	0.1308008093
132	0.1295576839
133	0.1286049505
134	0.1278208105
135	0.1265952421
136	0.1257148474
137	0.1248462601
138	0.1236432985
139	0.1226121777
140	0.1215293755
141	0.1207513955
142	0.1201503697
143	0.1196616814
144	0.1184926907
145	0.1178806246
146	0.1168543739
147	0.1159530628
148	0.1148910722
149	0.1143389858
150	0.113483572
151	0.1127468599
152	0.1121594645
153	0.1114556518
154	0.1106246243
155	0.1099956053
156	0.1089648002
157	0.1082771515
158	0.1076918488
159	0.1071551885
160	0.1061877936
161	0.1055771739
162	0.1046392224
163	0.1040015501
164	0.1034596106
165	0.1028295102
166	0.1021660528
167	0.1012290027
168	0.1005598033
169	0.09942634011
170	0.09861987482
171	0.09780560069
172	0.09710093703
173	0.09662738037
174	0.09604929586
175	0.09530516633
176	0.09453108443
177	0.0939624914
178	0.09326779616
179	0.09263126871
180	0.0920171518
181	0.09144224347
182	0.09090288563
183	0.09046093425
184	0.0896701973
185	0.08908306784
186	0.08840242632
187	0.08790276781
188	0.08722463858
189	0.0866476601
190	0.08604829743
191	0.08524552684
192	0.08485799645
193	0.08450766103
194	0.08388026686
195	0.08344758331
196	0.08284752654
197	0.08235873742
198	0.08186978217
199	0.08152853382
200	0.08072095533
201	0.08025500417
202	0.07990271786
203	0.07942165515
204	0.07875830239
205	0.07813537101
206	0.07765224032
207	0.07715541534
208	0.07664595642
209	0.07627205804
210	0.0757670664
211	0.07544651535
212	0.07511674645
213	0.07445106482
214	0.07394275706
215	0.07349259689
216	0.07281168117
217	0.07207810275
218	0.07154452815
219	0.07117861946
