iter	Passed	Remaining
0	85	18693
1	159	17413
2	236	17137
3	315	17017
4	392	16897
5	465	16601
6	540	16435
7	619	16420
8	695	16302
9	770	16177
10	847	16097
11	921	15974
12	996	15872
13	1075	15820
14	1152	15746
15	1230	15694
16	1308	15620
17	1383	15525
18	1458	15424
19	1529	15299
20	1605	15213
21	1680	15123
22	1756	15041
23	1830	14951
24	1906	14873
25	1981	14783
26	2053	14680
27	2130	14607
28	2205	14523
29	2281	14447
30	2356	14365
31	2430	14280
32	2504	14193
33	2577	14099
34	2651	14016
35	2723	13917
36	2800	13850
37	2877	13779
38	2952	13702
39	3027	13623
40	3103	13548
41	3178	13471
42	3254	13395
43	3332	13328
44	3408	13254
45	3484	13180
46	3558	13098
47	3635	13026
48	3711	12952
49	3786	12875
50	3865	12807
51	3939	12728
52	4016	12655
53	4093	12583
54	4168	12505
55	4244	12431
56	4321	12357
57	4397	12283
58	4478	12222
59	4555	12147
60	4630	12068
61	4708	11998
62	4784	11923
63	4859	11846
64	4933	11765
65	5007	11684
66	5082	11606
67	5156	11525
68	5232	11451
69	5307	11372
70	5381	11293
71	5456	11215
72	5531	11138
73	5607	11062
74	5683	10988
75	5758	10911
76	5832	10831
77	5904	10749
78	5978	10671
79	6050	10587
80	6124	10510
81	6196	10428
82	6272	10353
83	6345	10273
84	6423	10202
85	6498	10125
86	6570	10045
87	6647	9971
88	6724	9897
89	6801	9824
90	6875	9747
91	6949	9668
92	7022	9589
93	7094	9509
94	7167	9430
95	7238	9349
96	7312	9272
97	7386	9195
98	7462	9120
99	7536	9043
100	7610	8966
101	7682	8887
102	7756	8811
103	7834	8738
104	7909	8663
105	7986	8589
106	8061	8513
107	8135	8437
108	8208	8359
109	8281	8281
110	8357	8206
111	8434	8133
112	8510	8058
113	8587	7985
114	8663	7910
115	8738	7834
116	8812	7758
117	8887	7682
118	8964	7608
119	9039	7533
120	9115	7457
121	9190	7382
122	9264	7306
123	9338	7230
124	9414	7155
125	9491	7080
126	9567	7005
127	9644	6931
128	9718	6855
129	9791	6778
130	9864	6701
131	9934	6623
132	10007	6546
133	10082	6470
134	10154	6393
135	10232	6319
136	10306	6244
137	10380	6167
138	10456	6093
139	10531	6018
140	10609	5944
141	10687	5870
142	10761	5794
143	10835	5718
144	10909	5642
145	10982	5566
146	11059	5491
147	11132	5415
148	11209	5341
149	11284	5266
150	11358	5190
151	11435	5115
152	11513	5041
153	11588	4966
154	11663	4891
155	11738	4815
156	11809	4739
157	11883	4663
158	11959	4588
159	12032	4512
160	12107	4436
161	12182	4361
162	12259	4286
163	12335	4211
164	12407	4135
165	12488	4062
166	12570	3989
167	12648	3915
168	12726	3840
169	12804	3765
170	12878	3690
171	12950	3614
172	13026	3539
173	13104	3464
174	13177	3388
175	13250	3312
176	13323	3236
177	13394	3160
178	13467	3084
179	13541	3009
180	13617	2934
181	13694	2859
182	13769	2784
183	13844	2708
184	13919	2633
185	13994	2558
186	14070	2483
187	14145	2407
188	14221	2332
189	14295	2257
190	14371	2182
191	14446	2106
192	14520	2031
193	14596	1956
194	14673	1881
195	14749	1806
196	14826	1731
197	14901	1655
198	14979	1580
199	15059	1505
200	15138	1430
201	15213	1355
202	15292	1280
203	15368	1205
204	15442	1129
205	15519	1054
206	15598	979
207	15678	904
208	15755	829
209	15830	753
210	15906	678
211	15977	602
212	16049	527
213	16123	452
214	16200	376
215	16277	301
216	16353	226
217	16427	150
218	16501	75
219	16573	0
